Time,Open,High,Low,Close,Volume
04/17/2021 09:00:00,36.7183,36.7183,36.01,36.1919,1809.88
04/17/2021 10:00:00,36.1545,36.8289,36.01,36.795,1806.67
04/17/2021 11:00:00,36.7881,36.8455,35.8232,36.0296,9521.04
04/17/2021 12:00:00,35.9832,36.1681,35.5425,35.919,6250.16
04/17/2021 13:00:00,35.8753,36.1395,35.4615,35.9267,2052.87
04/17/2021 14:00:00,35.9359,36.2059,35.5892,35.5892,7607.66
04/17/2021 15:00:00,35.5455,35.6254,34.96,35.1215,8188.23
04/17/2021 16:00:00,34.9623,35.4601,34.5894,35.2342,5884.82
04/17/2021 17:00:00,35.2752,35.4234,34.6801,34.6801,3417.17
04/17/2021 18:00:00,34.7539,35.5393,34.7177,35.4231,3210.15
04/17/2021 19:00:00,35.4231,35.6468,35.3607,35.6466,1937.01
04/17/2021 20:00:00,35.6466,35.6799,35.4561,35.673,827.12
04/17/2021 21:00:00,35.5893,35.7407,35.5484,35.7066,1236.71
04/17/2021 22:00:00,35.7321,35.7611,35.4153,35.5822,1206.45
04/17/2021 23:00:00,35.6287,35.6956,34.6894,34.7779,5726.03
04/18/2021 00:00:00,34.8084,35.1033,34.1008,34.1654,5082.08
04/18/2021 01:00:00,34.3498,34.4155,33.5714,34.1661,6650.18
04/18/2021 02:00:00,34.1481,34.338,33.3724,33.6187,5346.19
04/18/2021 03:00:00,33.6383,33.9046,27.21,30.3333,42586.63
04/18/2021 04:00:00,30.4355,31.6415,29.6769,30.089,23977.33
04/18/2021 05:00:00,29.8855,31.0892,29.7515,30.8324,16592.88
04/18/2021 06:00:00,30.698,31.2429,30.5424,30.8762,5254.13
04/18/2021 07:00:00,30.904,32.0761,30.904,31.7696,6196.57
04/18/2021 08:00:00,31.991,32.0127,30.2703,30.3148,7626.34
04/18/2021 09:00:00,30.3177,30.5735,29.3541,29.9587,13566.12
04/18/2021 10:00:00,29.9124,30.4762,29.7489,30.1306,3381.95
04/18/2021 11:00:00,30.1276,30.5809,28.5,28.8924,14623.73
04/18/2021 12:00:00,28.889,30.1671,28.889,30.0283,6620.14
04/18/2021 13:00:00,30.0008,30.2578,29.7877,30.2323,11922.51
04/18/2021 14:00:00,30.2216,30.734,30.0435,30.384,3299.12
04/18/2021 15:00:00,30.3555,31.1489,30.1848,30.8549,8022.61
04/18/2021 16:00:00,30.8772,31.7299,30.5735,31.0615,8947.08
04/18/2021 17:00:00,31.175,31.2774,30.8167,30.9607,2206.8
04/18/2021 18:00:00,30.9612,31.6752,30.9106,31.393,2835.68
04/18/2021 19:00:00,31.4502,32.059,31.419,32.059,2094.09
04/18/2021 20:00:00,32.059,32.3895,31.7936,32.2975,5057.43
04/18/2021 21:00:00,32.3893,32.4217,31.827,32.369,5392.98
04/18/2021 22:00:00,32.3895,32.5298,32.1284,32.3023,1828.98
04/18/2021 23:00:00,32.2773,32.2773,31.6801,31.7392,11751.91
